GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Poker Helper - Probability Service,com.pokerhelper.domain.model,Card,112,0,20,0,16,0,20,0,10,0
Poker Helper - Probability Service,com.pokerhelper.domain.model,Decision,64,0,14,0,26,0,19,0,7,0
Poker Helper - Probability Service,com.pokerhelper.domain.model,PokerProbabilities.PlayerProbabilities,51,0,0,0,18,0,9,0,9,0
Poker Helper - Probability Service,com.pokerhelper.domain.model,PokerProbabilities,21,0,0,0,8,0,4,0,4,0
Poker Helper - Probability Service,com.pokerhelper.infrastructure.adapters.input.http,PokerHttpAdapter.ValidationException,0,4,0,0,0,2,0,1,0,1
Poker Helper - Probability Service,com.pokerhelper.infrastructure.adapters.input.http,PokerHttpAdapter.ErrorResponse,0,9,0,0,0,4,0,1,0,1
Poker Helper - Probability Service,com.pokerhelper.infrastructure.adapters.input.http,PokerHttpAdapter.ApiInfo,15,0,0,0,6,0,1,0,1,0
Poker Helper - Probability Service,com.pokerhelper.infrastructure.adapters.input.http,PokerHttpAdapter,178,86,1,1,37,23,3,5,2,5
Poker Helper - Probability Service,com.pokerhelper.infrastructure.adapters.legacy,LegacyPokerCalculatorAdapter,145,0,2,0,38,0,7,0,6,0
Poker Helper - Probability Service,com.app.service.applications.service,CalculoDeProbabilidades,634,1369,123,123,130,279,105,61,19,24
Poker Helper - Probability Service,com.app.service.applications.service,Decision,44,28,8,3,17,11,10,6,3,5
Poker Helper - Probability Service,com.pokerhelper.application.services,PokerCalculatorService.PokerCalculationException,5,0,0,0,2,0,1,0,1,0
Poker Helper - Probability Service,com.pokerhelper.application.services,PokerCalculatorService,152,0,8,0,31,0,9,0,5,0
Poker Helper - Probability Service,com.pokerhelper.application.services,CalculoDeProbabilidades,2015,0,246,0,409,0,166,0,43,0
Poker Helper - Probability Service,com.pokerhelper.infrastructure.dto,PokerCalculationResponse,21,0,0,0,8,0,4,0,4,0
Poker Helper - Probability Service,com.pokerhelper.infrastructure.dto,PokerCalculationResponse.DecisionDto,21,0,0,0,8,0,4,0,4,0
Poker Helper - Probability Service,com.pokerhelper.infrastructure.dto,PokerCalculationRequest,0,45,0,4,0,12,0,8,0,6
Poker Helper - Probability Service,com.pokerhelper.infrastructure.dto,CardDto,16,15,2,0,2,6,3,3,2,3
Poker Helper - Probability Service,com.pokerhelper.infrastructure.dto,PokerCalculationResponse.ProbabilitiesDto,51,0,0,0,18,0,9,0,9,0
Poker Helper - Probability Service,com.pokerhelper.infrastructure.mappers,PokerDtoMapper,111,3,10,0,31,1,10,1,5,1
Poker Helper - Probability Service,com.app.service.domain.model,Carta,155,113,30,12,28,23,24,9,5,7
Poker Helper - Probability Service,com.pokerhelper,PokerHelperApplication,157,0,2,0,38,0,11,0,10,0
Poker Helper - Probability Service,com.pokerhelper,PokerHelperApplication.ApiInfo,12,0,0,0,5,0,1,0,1,0
Poker Helper - Probability Service,com.pokerhelper,PokerHelperApplication.HealthResponse,9,0,0,0,4,0,1,0,1,0
Poker Helper - Probability Service,com.pokerhelper,PokerHelperApplication.ErrorResponse,9,0,0,0,4,0,1,0,1,0
Poker Helper - Probability Service,com.pokerhelper.infrastructure.config,ApplicationConfig,60,0,0,0,15,0,7,0,7,0
Poker Helper - Probability Service,com.app.service.utils,PokerException,7,0,0,0,4,0,2,0,2,0
